conference_acronym	conference_name	conference_date	conference_location
EAI BDTA 2020	(Virtual) 10th EAI International Conference on Big Data Technologies and Applications	Dec 11, 2020	Wuhan, People's Republic of China
JCC-BD&ET 2022	[Deadline extended] JCC-BD&ET 2022: 10th Conference on Cloud Computing, Big Data & Emerging Topics --Springer CCIS (Ei Compendex & Scopus)	Jun 28, 2022	La Plata, Argentina
ENC 2022	** Deadline extended ** Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de Computación 2022 (ENC 2022)	Aug 24, 2022	Xalapa, Veracruz, Mexico (virtual)
ITAIC 2022	10th IEEE Joint International Information Technology and Artificial Intelligence Conference	Jun 17, 2022	Chongqing, China
AI & FL 2022	10th International Conference of Artificial Intelligence and Fuzzy Logic	Dec 17, 2022	Dubai, UAE
AIAP  2023	10th International Conference on Artificial Intelligence and Applications 	Feb 18, 2023	Dubai, UAE
CSE 2022	10th International Conference on Computational Science and Engineering	Dec 17, 2022	Dubai, UAE
CoSIT  2023	10th International Conference on Computer Science and Information Technology 	May 20, 2023	Zurich, Switzerland
DMDB 2023	10th International Conference on Data Mining and Database 	Feb 18, 2023	Dubai, UAE
FICTA 2022	10th International Conference on Frontiers of Intelligent Computing: Theory and Applications	Jun 18, 2022	Aizawl, Mizoram, India
ACSIT 2023	11th International Conference of Advanced Computer Science & Information Technology	May 27, 2023	Vancouver, Canada
ITCA 2023	11th International Conference of Information Technology, Control and Automation	May 27, 2023	Vancouver, Canada
CMIT 2023	11th International Conference of Managing Information Technology	May 27, 2023	Vancouver, Canada
ICACCI 2021	11th International Conference on Advanced Computing, Communication and Information Science	Nov 26, 2021	Busan, South Korea
DBDM  2023	11th International Conference on Database and Data Mining	Feb 25, 2023	Vancouver, Canada
DKMP  2023	11th International Conference on Data Mining & Knowledge Management Process	Mar 18, 2023	Vienna, Austria
DATA 2022	11th International Conference on Data Science, Technology and Applications	Jul 11, 2022	Lisbon, Portugal
FCST 2023	11th International Conference on Foundations of Computer Science & Technology	May 27, 2023	Vancouver, Canada
ITCS 2022	11th International Conference on Information Technology Convergence and Services	Nov 12, 2022	Chennai, India
CICS 2023	11th International Conference on Instrumentation and Control Systems 	Feb 25, 2023	Vancouver, Canada
SPPR 2022	11th International Conference on Signal, Image Processing and Pattern Recognition	Nov 26, 2022	London, United Kingdom
SIPP 2023	11th International Conference on Signal, Image Processing and Pattern Recognition 	Jul 22, 2023	Toronto, Canada
SIPM  2023	11th International Conference on Signal Image Processing and Multimedia	May 27, 2023	Vancouver, Canada
SCAI 2022	11th International Conference on Soft Computing, Artificial Intelligence and Applications	Nov 26, 2022	London, United Kingdom
SE  2023	11th International Conference on Software Engineering & Trends	May 27, 2023	Vancouver, Canada
