type	conference_acronym	conference_name	conference_date	conference_location
Big Data	BDSN  2022	The 10th International workshop on Big Data and Social Networking Management and Security	Nov 29, 2022	Milan, Italy
Big Data	DSEA 2022	The 6th International Workshop on Data Science Engineering and its Applications	Nov 29, 2022	Milan, Italy
Big Data	OSNT 2022	The 8th International Workshop on Online Social Networks Technologies	Nov 29, 2022	Milan, Italy
Big Data	SNAMS 2022	The 9th International Conference on Social Networks Analysis, Management and Security	Nov 29, 2022	Milan, Italy
Big Data	EAI BCBE  2022	EAI International Conference on Block chain, cloud computing and big data with education	Nov 25, 2022	Wuxi, People's Republic of China
Big Data	BIENS 2022	6th International Conference on Biomedical Engineering and Science	Dec 22, 2022	Sydney, Australia
Big Data	DNLP 2023	4th International Conference on Data Mining and NLP	Jan 2, 2023	Zurich, Switzerland
Big Data	CLBD 2022	3rd International Conference on Data Mining and Software Engineering	Nov 12, 2022	Chennai, India
Big Data	SIPO  2023	7th International Conference on Signal, Image Processing	Jan 2, 2023	Zurich, Switzerland
Big Data	ICIT 2022	2022 The 10th International Conference on Information Technology: IoT and Smart City (ICIT 2022)	Dec 23, 2022	Shanghai, China
Big Data	AIBD 2023	4th International Conference on Artificial Intelligence and Big Data	Jan 28, 2023	Copenhagen, Denmark
Big Data	BDHI  2023	4th International Conference on Big Data & Health Informatics	Jan 2, 2023	Zurich, Switzerland
Big Data	BDAB  2023	4th International Conference on Big Data and Blockchain 	Jan 28, 2023	Copenhagen, Denmark
Big Data	DSA 2022	3rd International Conference on Data Science and Applications 	Dec 23, 2022	Sydney, Australia
Big Data	DMDBS 2022	8th International Conference on Data Mining and Database Management Systems	Nov 19, 2022	Zurich, Switzerland
Big Data	NET  2023	7th International Conference on Networks and Communications	Jan 2, 2023	Zurich, Switzerland
Big Data	DMS 2022	13th International conference on Database Management Systems	Nov 12, 2022	Chennai, India
Big Data	EAI BDTA 2022	12th EAI International Conference on Big Data Technologies and Applications	Dec 10, 2022	Cairo, Egypt
Big Data	CSML 2023	International Conference on Computer Science and Machine Learning 	Jan 2, 2023	Zurich, Switzerland
Big Data	BMLI 2022	3rd International Conference on Big Data, Machine Learning and IoT	Dec 22, 2022	Sydney, Australia
Big Data	AIAA 2022	12th International Conference on Artificial Intelligence, Soft Computing and Applications	Dec 23, 2022	Sydney, Australia
Big Data	CCCIOT 2023	4th International Conference on Cloud Computing and IOT 	Jan 28, 2023	Copenhagen, Denmark
Big Data	MLDS 2022	3rd International Conference on Machine Learning Techniques and Data Science	Nov 26, 2022	London, United Kingdom
Big Data	CNSA  2023	16th International Conference on Network Security & Applications	Feb 18, 2023	Dubai, UAE
Big Data	CCSEIT  2023	13th International Conference on Computer Science, Engineering and Information Technology	Feb 18, 2023	Dubai, UAE
Big Data	CICS 2023	11th International Conference on Instrumentation and Control Systems 	Feb 25, 2023	Vancouver, Canada
Big Data	ICCIoT 2023	4th International Conference on Cloud and Internet of Things	Feb 18, 2023	Dubai, UAE
Big Data	NIAI  2023	4th International Conference on Natural Language Processing, Information Retrieval and AI	Feb 18, 2023	Dubai, UAE
Big Data	DSCC 2022	3rd International Conference on Data Science and Cloud Computing	Dec 17, 2022	Dubai, UAE
Big Data	IOTBS  2023	3rd International Conference on IOT, Big Data and Security	Feb 25, 2023	Vancouver, Canada
Big Data	DMDB 2023	10th International Conference on Data Mining and Database 	Feb 18, 2023	Dubai, UAE
Big Data	ASUC 2023	14th International Conference on Ad hoc, Sensor & Ubiquitous Computing 	Mar 25, 2023	Sydney, Australia
Big Data	NCO 2023	9th International Conference on Networks and Communications 	Mar 25, 2023	Sydney, Australia
Big Data	ACM ICBTA 2022	ACM--2022 5th International Conference on Blockchain Technology and Applications (ICBTA 2022)	Dec 16, 2022	Xi'an, China
Big Data	ICBDA 2023	IEEE--2023 the 8th International Conference on Big Data Analytics (ICBDA 2023)	Mar 3, 2023	Harbin, China
Big Data	ACSIT 2023	11th International Conference of Advanced Computer Science & Information Technology	May 27, 2023	Vancouver, Canada
Big Data	CBDA 2023	4th International Conference on Big Data	May 20, 2023	Zurich, Switzerland
Big Data	BIoT  2023	4th International Conference on Blockchain and Internet of Things	Mar 18, 2023	Vienna, Austria
Big Data	BDML 2023	4th International Conference on Big Data and Machine Learning 	Mar 18, 2023	Vienna, Austria
Big Data	CoSIT  2023	10th International Conference on Computer Science and Information Technology 	May 20, 2023	Zurich, Switzerland
Big Data	AIBT--Ei 2023	2023 The 2nd International Conference on Artificial Intelligence and Blockchain Technology (AIBT 2023)	Jan 13, 2023	Zibo, Shandong, China
Big Data	IBTS 2023	2023 International Blockchain Technology Symposium (IBTS 2023)	Mar 17, 2023	Nice, France
Big Data	ICBDSC 2023	ACM--2023 the 6th International Conference on Big Data and Smart Computing (ICBDSC 2023)	Jan 31, 2023	Palmerston North, New Zealand
Big Data	ACM ICCNS 2022	ACM--2022 the 12th International Conference on Communication and Network Security (ICCNS 2022)	Dec 1, 2022	Beijing, China
Big Data	ICTCE--Ei 2022	ACM--2022 The 5th International Conference on Telecommunications and Communication Engineering (ICTCE 2022)	Nov 28, 2022	Chengdu, China
Big Data	NLPCL 2023	4th International Conference on Natural Language Processing and Computational Linguistics	Jul 22, 2023	Toronto, Canada
Big Data	BIGML 2023	4th International conference on Big Data, Machine learning and Applications	Jul 22, 2023	Toronto, Canada
Big Data	ICAIT  2023	12th International Conference on Advanced Computer Science and Information Technology	Jul 29, 2023	London, United Kingdom
